chr,chr_num,start,end,strand,gene_name,order,gene_symbol,gene_class
chr1,1,43137613,43147827,-,CATG00000056283,1_FANTOM,CATG00000056283.1,noncoding_lncRNA_divergent
chr1,1,43144406,43147325,+,ENSG00000234917,2_ensembl,RP5-994D16.3,noncoding_lncRNA_lincRNA
chr1,1,43148089,43199115,+,ENSG00000065978,1_FANTOM,YBX1,protein_coding
chr1,1,43196868,43205907,-,ENSG00000164007,1_FANTOM,CLDN19,protein_coding
chr1,1,43211561,43232699,-,ENSG00000117385,1_FANTOM,LEPRE1,protein_coding
chr1,1,43232935,43263875,+,ENSG00000164008,1_FANTOM,C1orf50,protein_coding
chr1,1,43241484,43242461,-,ENSG00000228452,2_ensembl,RP5-994D16.9,noncoding_antisense
chr1,1,43259355,43283066,-,ENSG00000177868,1_FANTOM,CCDC23,protein_coding
chr1,1,43273133,43273554,+,CATG00000117210,1_FANTOM,CATG00000117210.1,noncoding_lncRNA_noncoding_antisense
chr1,1,43282102,43311948,+,ENSG00000164010,1_FANTOM,ERMAP,protein_coding
chr1,1,43296695,43312093,-,ENSG00000228192,1_FANTOM,RP11-342M1.3,noncoding_lncRNA_divergent
chr1,1,43312285,43326716,+,ENSG00000164011,1_FANTOM,ZNF691,protein_coding
chr1,1,43352268,43354438,-,ENSG00000233708,2_ensembl,RP11-342M1.7,noncoding_pseudogene
chr1,1,43356765,43358101,-,ENSG00000237090,2_ensembl,RP11-342M1.6,noncoding_pseudogene
chr1,1,43369167,43369583,+,ENSG00000225099,1_FANTOM,ATP6V1E1P1,noncoding_pseudogene
chr1,1,43370578,43428407,-,ENSG00000117394,1_FANTOM,SLC2A1,protein_coding
chr1,1,43390131,43391428,+,CATG00000117297,1_FANTOM,CATG00000117297.1,noncoding_lncRNA_intergenic
chr1,1,43423948,43662177,+,ENSG00000227533,1_FANTOM,SLC2A1-AS1,noncoding_lncRNA_divergent
chr1,1,43457109,43457215,+,ENSG00000207256,2_ensembl,RNU6-880P,noncoding_snRNA
chr1,1,43472938,43474492,-,CATG00000056426,1_FANTOM,CATG00000056426.1,noncoding_lncRNA_intergenic
chr1,1,43489220,43489308,-,ENSG00000252803,2_ensembl,RNU6-870P,noncoding_snRNA
chr1,1,43532096,43533811,-,CATG00000056513,1_FANTOM,CATG00000056513.1,noncoding_lncRNA_intergenic
chr1,1,43613354,43622606,+,ENSG00000186973,1_FANTOM,FAM183A,protein_coding
chr1,1,43626855,43736624,-,ENSG00000117395,1_FANTOM,EBNA1BP2,protein_coding
chr1,1,43628758,43629855,+,CATG00000117311,1_FANTOM,CATG00000117311.1,noncoding_lncRNA_intergenic
chr1,1,43635993,43720525,+,ENSG00000243710,1_FANTOM,WDR65,protein_coding
chr1,1,43662088,43662207,+,ENSG00000199240,2_ensembl,RNA5SP46,noncoding_rRNA
chr1,1,43735654,43740630,+,ENSG00000179178,1_FANTOM,TMEM125,protein_coding
chr1,1,43740280,43751523,-,ENSG00000253313,1_FANTOM,C1orf210,protein_coding
chr1,1,43766653,43794462,+,ENSG00000066056,1_FANTOM,TIE1,protein_coding
chr1,1,43803503,43821364,+,ENSG00000117400,1_FANTOM,MPL,protein_coding
chr1,1,43803610,43814687,-,CATG00000056679,1_FANTOM,CATG00000056679.1,noncoding_lncRNA_divergent
chr1,1,43814879,43815173,-,CATG00000056683,1_FANTOM,CATG00000056683.1,noncoding_lncRNA_divergent
chr1,1,43817280,43824511,-,ENSG00000234694,1_FANTOM,RP1-92O14.3,noncoding_lncRNA_divergent
chr1,1,43824148,43833694,+,ENSG00000117399,1_FANTOM,CDC20,protein_coding
chr1,1,43824709,43847316,-,ENSG00000066322,1_FANTOM,ELOVL1,protein_coding
chr1,1,43833883,43855398,+,ENSG00000229431,1_FANTOM,RP1-92O14.6,noncoding_lncRNA_divergent
chr1,1,43848387,43855471,-,ENSG00000159479,1_FANTOM,MED8,protein_coding
chr1,1,43854200,43923174,+,ENSG00000198198,1_FANTOM,SZT2,protein_coding
chr1,1,43900646,43903109,-,CATG00000056736,1_FANTOM,CATG00000056736.1,noncoding_lncRNA_divergent
chr1,1,43913447,43914315,-,ENSG00000229372,2_ensembl,SZT2-AS1,noncoding_antisense
chr1,1,43913751,43920277,-,ENSG00000178922,1_FANTOM,HYI,protein_coding
chr1,1,43919555,43922782,+,ENSG00000229348,1_FANTOM,HYI-AS1,noncoding_lncRNA_divergent
chr1,1,43962649,43964068,+,CATG00000117548,1_FANTOM,CATG00000117548.1,noncoding_lncRNA_intergenic
chr1,1,43987722,44093296,+,ENSG00000142949,1_FANTOM,PTPRF,protein_coding
chr1,1,44024656,44025778,+,CATG00000117630,1_FANTOM,CATG00000117630.1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,44058188,44058238,-,CATG00000056833,1_FANTOM,CATG00000056833.1,noncoding_short_ncRNA
chr1,1,44114144,44406407,+,ENSG00000126091,1_FANTOM,ST3GAL3,protein_coding
chr1,1,44115807,44171949,+,ENSG00000066135,1_FANTOM,KDM4A,protein_coding
chr1,1,44160518,44173009,-,ENSG00000236200,1_FANTOM,KDM4A-AS1,noncoding_lncRNA_divergent
chr1,1,44175063,44193014,-,ENSG00000229444,2_ensembl,RP11-184I16.4,noncoding_antisense
chr1,1,44182138,44182227,+,ENSG00000252201,2_ensembl,RNU6-1058P,noncoding_snRNA
chr1,1,44184246,44186261,-,CATG00000056939,1_FANTOM,CATG00000056939.1,noncoding_lncRNA_noncoding_antisense
chr1,1,44209142,44209412,+,ENSG00000233674,2_ensembl,RP11-184I16.3,noncoding_pseudogene
chr1,1,44315972,44317183,-,ENSG00000224751,1_FANTOM,SHMT1P1,noncoding_pseudogene
chr1,1,44365324,44401467,-,CATG00000056950,1_FANTOM,CATG00000056950.1,noncoding_lncRNA_divergent
chr1,1,44374319,44375053,+,CATG00000117672,1_FANTOM,CATG00000117672.1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,44398952,44406406,+,ENSG00000117407,1_FANTOM,ARTN,protein_coding
chr1,1,44402688,44412271,-,ENSG00000237950,1_FANTOM,RP11-7O11.3,noncoding_lncRNA_divergent
chr1,1,44412638,44434091,+,ENSG00000117408,1_FANTOM,IPO13,protein_coding
chr1,1,44435682,44439141,+,ENSG00000132768,1_FANTOM,DPH2,protein_coding
chr1,1,44439035,44440486,-,CATG00000056966,1_FANTOM,CATG00000056966.1,noncoding_lncRNA_divergent
chr1,1,44440231,44444041,+,ENSG00000117410,1_FANTOM,ATP6V0B,protein_coding
chr1,1,44442959,44443696,-,CATG00000056978,1_FANTOM,CATG00000056978.1,noncoding_lncRNA_divergent
chr1,1,44444653,44456984,+,ENSG00000117411,1_FANTOM,B4GALT2,protein_coding
chr1,1,44451819,44497869,-,ENSG00000196517,1_FANTOM,SLC6A9,protein_coding
chr1,1,44457024,44464918,+,ENSG00000159214,1_FANTOM,CCDC24,protein_coding
chr1,1,44496112,44581609,+,ENSG00000230615,1_FANTOM,RP5-1198O20.4,noncoding_lncRNA_divergent
chr1,1,44508417,44509457,-,CATG00000057024,1_FANTOM,CATG00000057024.1,noncoding_lncRNA_intergenic
chr1,1,44553630,44554149,-,ENSG00000227163,2_ensembl,RP5-1198O20.5,noncoding_pseudogene
chr1,1,44568978,44570375,-,ENSG00000271647,2_ensembl,KRT8P47,noncoding_pseudogene
chr1,1,44582772,44583069,-,ENSG00000239560,2_ensembl,RN7SL479P,noncoding_misc_RNA
chr1,1,44584550,44601209,+,ENSG00000171872,1_FANTOM,KLF17,protein_coding
chr1,1,44587825,44588199,-,ENSG00000233514,1_FANTOM,RP11-570P14.1,noncoding_pseudogene
chr1,1,44603514,44604485,-,ENSG00000239275,2_ensembl,RP4-675G8.2,noncoding_pseudogene
chr1,1,44616266,44617425,-,ENSG00000226804,2_ensembl,RP4-675G8.3,noncoding_pseudogene
chr1,1,44619057,44619152,-,ENSG00000200171,2_ensembl,Y_RNA,noncoding_misc_RNA
chr1,1,44620700,44620973,-,ENSG00000238037,2_ensembl,OOSP1P1,noncoding_pseudogene
chr1,1,44636108,44666815,-,ENSG00000271329,1_FANTOM,RP5-891H21.5,noncoding_pseudogene
chr1,1,44638178,44638391,-,ENSG00000227994,2_ensembl,RP5-891H21.1,noncoding_pseudogene
chr1,1,44672772,44679050,-,CATG00000057088,1_FANTOM,CATG00000057088.1,noncoding_lncRNA_divergent
chr1,1,44679143,44693577,+,ENSG00000178028,1_FANTOM,DMAP1,protein_coding
chr1,1,44679145,44820962,-,ENSG00000117419,1_FANTOM,ERI3,protein_coding
chr1,1,44709080,44709955,-,ENSG00000233602,1_FANTOM,ERI3-IT1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,44798777,44798850,-,ENSG00000252146,2_ensembl,AL390776.1,noncoding_miRNA
chr1,1,44856394,44856495,+,ENSG00000199385,2_ensembl,RNU6-369P,noncoding_snRNA
chr1,1,44870927,45121150,+,ENSG00000187147,1_FANTOM,RNF220,protein_coding
chr1,1,45011165,45011224,+,ENSG00000263381,2_ensembl,MIR5584,noncoding_miRNA
chr1,1,45035781,45085215,-,CATG00000057129,1_FANTOM,CATG00000057129.1,noncoding_lncRNA_noncoding_antisense
chr1,1,45095409,45097565,-,CATG00000057135,1_FANTOM,CATG00000057135.1,noncoding_lncRNA_divergent
chr1,1,45100910,45140105,-,ENSG00000126106,1_FANTOM,TMEM53,protein_coding
chr1,1,45134168,45135840,-,CATG00000057141,1_FANTOM,CATG00000057141.1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,45140386,45191594,+,ENSG00000198520,1_FANTOM,C1orf228,protein_coding
chr1,1,45142274,45142920,+,CATG00000117761,1_FANTOM,CATG00000117761.1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,45172983,45197891,-,ENSG00000199377,1_FANTOM,RNU5F-1,noncoding_small_RNA
chr1,1,45196727,45196985,-,ENSG00000200169,1_FANTOM,RNU5D-1,noncoding_small_RNA
chr1,1,45203757,45235727,+,ENSG00000142945,1_FANTOM,KIF2C,protein_coding
chr1,1,45224796,45241518,-,ENSG00000225721,1_FANTOM,RP11-269F19.2,noncoding_lncRNA_divergent
chr1,1,45238318,45239219,+,CATG00000117817,1_FANTOM,CATG00000117817.1,noncoding_lncRNA_intergenic
chr1,1,45240929,45244451,+,ENSG00000142937,1_FANTOM,RPS8,protein_coding
chr1,1,45241539,45241615,+,ENSG00000264294,1_FANTOM,SNORD55,noncoding_small_RNA
chr1,1,45242166,45242265,+,ENSG00000200913,1_FANTOM,SNORD46,noncoding_small_RNA
chr1,1,45242296,45266546,-,ENSG00000142959,1_FANTOM,BEST4,protein_coding
chr1,1,45243518,45243584,+,ENSG00000202031,1_FANTOM,SNORD38A,noncoding_small_RNA
chr1,1,45244065,45244128,+,ENSG00000207421,1_FANTOM,SNORD38B,noncoding_small_RNA
chr1,1,45245998,45246418,-,ENSG00000234093,1_FANTOM,RPS15AP11,noncoding_pseudogene
chr1,1,45250358,45255506,+,CATG00000117842,1_FANTOM,CATG00000117842.1,protein_coding
chr1,1,45265616,45277708,+,ENSG00000173846,1_FANTOM,PLK3,protein_coding
chr1,1,45265616,45287700,+,ENSG00000222009,1_FANTOM,BTBD19,protein_coding
chr1,1,45268874,45269023,-,CATG00000057178,1_FANTOM,CATG00000057178.1,noncoding_short_ncRNA
chr1,1,45271585,45273023,-,ENSG00000188396,1_FANTOM,TCTEX1D4,protein_coding
chr1,1,45285516,45308925,-,ENSG00000117425,1_FANTOM,PTCH2,protein_coding
chr1,1,45285555,45285669,-,ENSG00000202444,1_FANTOM,RNU5E-6P,noncoding_small_RNA
chr1,1,45309593,45309754,-,ENSG00000226499,2_ensembl,RP5-882O7.1,noncoding_pseudogene
chr1,1,45316450,45452267,-,ENSG00000070785,1_FANTOM,EIF2B3,protein_coding
chr1,1,45347311,45347628,+,CATG00000117871,1_FANTOM,CATG00000117871.1,noncoding_lncRNA_noncoding_antisense
chr1,1,45367249,45368500,-,CATG00000057203,1_FANTOM,CATG00000057203.1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,45372349,45376276,-,CATG00000057204,1_FANTOM,CATG00000057204.1,noncoding_sense_overlap_RNA
chr1,1,45378740,45378780,-,ENSG00000266294,1_FANTOM,AL136380.1,noncoding_small_RNA
chr1,1,45397995,45398103,+,ENSG00000253039,2_ensembl,RNA5SP47,noncoding_rRNA
chr1,1,45423769,45425067,+,ENSG00000229815,1_FANTOM,CCNB1IP1P1,noncoding_pseudogene
chr1,1,45452463,45463652,+,CATG00000117907,1_FANTOM,CATG00000117907.1,noncoding_lncRNA_divergent
chr1,1,45453906,45454397,-,ENSG00000232369,2_ensembl,RP5-882O7.4,noncoding_pseudogene
chr1,1,45454377,45457927,-,ENSG00000268949,1_FANTOM,MRPS17P1,noncoding_pseudogene
chr1,1,45464691,45481051,-,ENSG00000126107,1_FANTOM,HECTD3,protein_coding
chr1,1,45476803,45485902,+,ENSG00000126088,1_FANTOM,UROD,protein_coding
chr1,1,45481306,45769747,-,ENSG00000162415,1_FANTOM,ZSWIM5,protein_coding
chr1,1,45499641,45499692,-,ENSG00000264650,2_ensembl,AL359473.1,noncoding_miRNA
chr1,1,45535649,45536127,-,ENSG00000234315,1_FANTOM,OSTCP5,noncoding_pseudogene
chr1,1,45672410,45684079,+,CATG00000117936,1_FANTOM,CATG00000117936.1,noncoding_lncRNA_divergent
chr1,1,45697890,45697979,-,ENSG00000221707,2_ensembl,AL592294.1,noncoding_miRNA
chr1,1,45712819,45715914,+,CATG00000117941,1_FANTOM,CATG00000117941.1,noncoding_lncRNA_intergenic
chr1,1,45769548,45772754,+,CATG00000117948,1_FANTOM,CATG00000117948.1,noncoding_lncRNA_divergent
chr1,1,45781915,45786203,+,CATG00000117967,1_FANTOM,CATG00000117967.1,noncoding_lncRNA_intergenic
chr1,1,45789385,45806086,-,ENSG00000132781,1_FANTOM,MUTYH,protein_coding
chr1,1,45792568,45794347,+,ENSG00000186603,1_FANTOM,HPDL,protein_coding
chr1,1,45805394,45813425,+,ENSG00000132773,1_FANTOM,TOE1,protein_coding
chr1,1,45809555,45956835,-,ENSG00000070759,1_FANTOM,TESK2,protein_coding
chr1,1,45824324,45824420,-,ENSG00000238945,2_ensembl,snoU13,noncoding_snoRNA
chr1,1,45867097,45868065,-,CATG00000057393,1_FANTOM,CATG00000057393.1,noncoding_sense_overlap_RNA
chr1,1,45880692,45881016,+,ENSG00000236872,2_ensembl,RP11-291L19.1,noncoding_pseudogene
chr1,1,45959538,45965745,-,ENSG00000236624,1_FANTOM,CCDC163P,protein_coding
chr1,1,45965871,46172377,+,ENSG00000132763,1_FANTOM,MMACHC,protein_coding
chr1,1,45966011,45988562,-,ENSG00000117450,1_FANTOM,PRDX1,protein_coding
chr1,1,45987746,45988644,+,CATG00000118048,1_FANTOM,CATG00000118048.1,noncoding_lncRNA_divergent
chr1,1,45990542,45990849,-,CATG00000057422,1_FANTOM,CATG00000057422.1,noncoding_lncRNA_intergenic
chr1,1,45996599,45997811,+,ENSG00000234379,2_ensembl,HMGB1P48,noncoding_pseudogene
chr1,1,46008077,46008428,-,CATG00000057430,1_FANTOM,CATG00000057430.1,noncoding_lncRNA_intergenic
chr1,1,46016025,46016412,-,CATG00000057458,1_FANTOM,CATG00000057458.1,noncoding_lncRNA_divergent
chr1,1,46016498,46035844,+,ENSG00000117448,1_FANTOM,AKR1A1,protein_coding
chr1,1,46040069,46050341,-,CATG00000057476,1_FANTOM,CATG00000057476.1,noncoding_lncRNA_divergent
chr1,1,46049246,46088412,+,ENSG00000132780,1_FANTOM,NASP,protein_coding
chr1,1,46080561,46081079,-,CATG00000057492,1_FANTOM,CATG00000057492.1,noncoding_lncRNA_divergent
chr1,1,46085648,46089725,-,ENSG00000159588,1_FANTOM,CCDC17,protein_coding
chr1,1,46089050,46153782,-,ENSG00000159592,1_FANTOM,GPBP1L1,protein_coding
chr1,1,46111488,46111902,-,ENSG00000225447,1_FANTOM,RPS15AP10,noncoding_pseudogene
chr1,1,46116711,46117519,-,ENSG00000234329,1_FANTOM,RP11-767N6.2,noncoding_pseudogene
chr1,1,46151803,46167137,+,ENSG00000159596,1_FANTOM,TMEM69,protein_coding
chr1,1,46158872,46216456,-,ENSG00000197429,1_FANTOM,IPP,protein_coding
chr1,1,46160356,46162747,-,ENSG00000230896,2_ensembl,RP11-767N6.7,noncoding_sense_intronic
chr1,1,46216521,46217119,+,CATG00000118063,1_FANTOM,CATG00000118063.1,noncoding_lncRNA_divergent
chr1,1,46246932,46247629,+,ENSG00000236111,1_FANTOM,RP11-630I5.1,noncoding_pseudogene
chr1,1,46252602,46513049,+,ENSG00000086015,1_FANTOM,MAST2,protein_coding
chr1,1,46268239,46269109,-,CATG00000057573,1_FANTOM,CATG00000057573.1,noncoding_lncRNA_divergent
chr1,1,46312666,46313266,-,ENSG00000232467,2_ensembl,TMA16P2,noncoding_pseudogene
chr1,1,46500807,46642160,-,ENSG00000117461,1_FANTOM,PIK3R3,protein_coding
chr1,1,46512490,46514040,+,ENSG00000226957,2_ensembl,RP4-533D7.4,noncoding_antisense
chr1,1,46570622,46570847,+,ENSG00000233114,2_ensembl,RP4-533D7.3,noncoding_pseudogene
chr1,1,46598840,46604737,+,CATG00000118146,1_FANTOM,CATG00000118146.1,noncoding_lncRNA_divergent
chr1,1,46600203,46604753,+,ENSG00000227857,2_ensembl,RP4-533D7.5,noncoding_antisense
chr1,1,46636713,46642160,-,ENSG00000250719,1_FANTOM,RP11-322N21.2,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,46640512,46662210,+,ENSG00000117472,1_FANTOM,TSPAN1,protein_coding
chr1,1,46654278,46685996,-,ENSG00000085998,1_FANTOM,POMGNT1,protein_coding
chr1,1,46654922,46655467,+,CATG00000118203,1_FANTOM,CATG00000118203.1,noncoding_lncRNA_noncoding_antisense
chr1,1,46663388,46706111,+,ENSG00000171357,1_FANTOM,LURAP1,protein_coding
chr1,1,46710825,46765239,+,ENSG00000085999,1_FANTOM,RAD54L,protein_coding
chr1,1,46712715,46713021,-,CATG00000057653,1_FANTOM,CATG00000057653.1,noncoding_lncRNA_divergent
chr1,1,46726649,46769280,-,ENSG00000132128,1_FANTOM,LRRC41,protein_coding
chr1,1,46768824,46784981,+,ENSG00000173660,1_FANTOM,UQCRH,protein_coding
chr1,1,46804409,46806748,-,CATG00000057710,1_FANTOM,CATG00000057710.1,noncoding_lncRNA_divergent
chr1,1,46805845,46849542,+,ENSG00000117481,1_FANTOM,NSUN4,protein_coding
chr1,1,46809027,46892494,+,ENSG00000117480,1_FANTOM,FAAH,protein_coding
chr1,1,46836237,46836627,+,ENSG00000225779,1_FANTOM,RP4-603I14.3,noncoding_pseudogene
chr1,1,46844439,46859317,-,CATG00000057730,1_FANTOM,CATG00000057730.1,noncoding_lncRNA_divergent
chr1,1,46889457,46932038,+,ENSG00000232022,1_FANTOM,RP5-1109J22.1,noncoding_pseudogene
chr1,1,46912345,46915376,-,ENSG00000224863,2_ensembl,RP5-1109J22.2,noncoding_lncRNA_lincRNA
chr1,1,46921495,46948147,+,ENSG00000225667,2_ensembl,LINC00505,noncoding_lncRNA_lincRNA
chr1,1,46954520,46983665,+,ENSG00000197587,1_FANTOM,DMBX1,protein_coding
chr1,1,46997840,47016806,-,ENSG00000162456,1_FANTOM,KNCN,protein_coding
chr1,1,47004326,47035927,+,ENSG00000269956,1_FANTOM,MKNK1-AS1,noncoding_lncRNA_intergenic
chr1,1,47022949,47082505,-,ENSG00000079277,1_FANTOM,MKNK1,protein_coding
chr1,1,47070060,47082505,-,ENSG00000142961,1_FANTOM,MOB3C,protein_coding
chr1,1,47070124,47073443,+,CATG00000118416,1_FANTOM,CATG00000118416.1,noncoding_lncRNA_divergent
chr1,1,47082703,47083645,+,CATG00000000004,1_FANTOM,CATG00000000004.1,noncoding_lncRNA_divergent
chr1,1,47096366,47162266,-,ENSG00000123472,1_FANTOM,ATPAF1,protein_coding
chr1,1,47099467,47184776,-,ENSG00000159658,1_FANTOM,EFCAB14,protein_coding
chr1,1,47131582,47132047,-,ENSG00000233647,2_ensembl,RP11-8J9.1,noncoding_pseudogene
chr1,1,47133749,47139300,+,ENSG00000186118,1_FANTOM,TEX38,protein_coding
chr1,1,47139710,47157770,+,ENSG00000228237,1_FANTOM,EFCAB14-AS1,noncoding_lncRNA_noncoding_antisense
chr1,1,47208001,47208805,+,ENSG00000236476,2_ensembl,RP11-8J9.5,noncoding_pseudogene
chr1,1,47223518,47285085,+,ENSG00000142973,1_FANTOM,CYP4B1,protein_coding
chr1,1,47308767,47366109,-,ENSG00000154198,2_ensembl,CYP4Z2P,noncoding_pseudogene
chr1,1,47357311,47358502,+,ENSG00000238145,2_ensembl,RP11-346M5.1,noncoding_pseudogene
chr1,1,47389639,47407148,-,ENSG00000187048,1_FANTOM,CYP4A11,protein_coding
chr1,1,47427000,47516466,+,ENSG00000186377,1_FANTOM,CYP4X1,protein_coding
chr1,1,47433351,47433546,-,ENSG00000259832,2_ensembl,CYP4A26P,noncoding_pseudogene
chr1,1,47460054,47460174,-,ENSG00000261196,2_ensembl,CYP4A43P,noncoding_pseudogene
chr1,1,47466570,47466759,-,ENSG00000261593,2_ensembl,CYP4A27P,noncoding_pseudogene
chr1,1,47468667,47468820,-,ENSG00000261290,2_ensembl,CYP4A44P,noncoding_pseudogene
chr1,1,47510569,47647690,-,ENSG00000225506,1_FANTOM,CYP4A22-AS1,noncoding_lncRNA_intergenic
chr1,1,47532903,47587532,+,ENSG00000186160,1_FANTOM,CYP4Z1,protein_coding
chr1,1,47540450,47541651,-,ENSG00000225154,2_ensembl,RP11-184J23.2,noncoding_pseudogene
chr1,1,47603115,47615796,+,ENSG00000162365,1_FANTOM,CYP4A22,protein_coding
chr1,1,47630182,47631592,-,ENSG00000225514,2_ensembl,MTND1P34,noncoding_pseudogene
chr1,1,47644968,47647550,+,ENSG00000224805,1_FANTOM,LINC00853,noncoding_lncRNA_intergenic
chr1,1,47648304,47656744,-,ENSG00000162366,1_FANTOM,PDZK1IP1,protein_coding
chr1,1,47650705,47655726,+,CATG00000000085,1_FANTOM,CATG00000000085.1,noncoding_lncRNA_divergent
chr1,1,47651819,47698090,-,ENSG00000162367,1_FANTOM,TAL1,protein_coding
chr1,1,47657498,47666751,+,CATG00000000098,1_FANTOM,CATG00000000098.1,noncoding_lncRNA_divergent
chr1,1,47691359,47698439,+,ENSG00000226252,1_FANTOM,RP1-18D14.7,noncoding_lncRNA_divergent
chr1,1,47700932,47701001,-,CATG00000057873,1_FANTOM,CATG00000057873.1,noncoding_short_ncRNA
chr1,1,47715794,47799895,-,ENSG00000123473,1_FANTOM,STIL,protein_coding
chr1,1,47780151,47780337,+,CATG00000000217,1_FANTOM,CATG00000000217.1,noncoding_short_ncRNA
chr1,1,47799463,47874239,+,ENSG00000162368,1_FANTOM,CMPK1,protein_coding
chr1,1,47846341,47882939,-,CATG00000057917,1_FANTOM,CATG00000057917.1,noncoding_lncRNA_divergent
chr1,1,47846600,47874149,-,ENSG00000225762,2_ensembl,RP11-511I2.2,noncoding_antisense
chr1,1,47881957,47883723,+,ENSG00000186790,1_FANTOM,FOXE3,protein_coding
chr1,1,47890220,47903367,-,ENSG00000237424,1_FANTOM,FOXD2-AS1,noncoding_lncRNA_divergent
chr1,1,47903426,48169055,+,ENSG00000227947,1_FANTOM,RP11-543D5.1,noncoding_lncRNA_intergenic
chr1,1,47903716,47906391,+,ENSG00000186564,1_FANTOM,FOXD2,protein_coding
chr1,1,47949370,47949834,-,ENSG00000271355,2_ensembl,RP4-666O22.3,noncoding_pseudogene
chr1,1,47963566,47964013,-,ENSG00000229554,2_ensembl,RPL21P24,noncoding_pseudogene
chr1,1,47968176,47968311,+,ENSG00000221346,2_ensembl,AL356458.1,noncoding_miRNA
chr1,1,47970715,47973920,-,CATG00000057951,1_FANTOM,CATG00000057951.1,noncoding_lncRNA_intergenic
chr1,1,47999394,48009615,+,CATG00000000254,1_FANTOM,CATG00000000254.1,protein_coding
chr1,1,48015868,48016425,+,ENSG00000227883,2_ensembl,ATP6V0E1P4,noncoding_pseudogene
chr1,1,48086765,48086849,-,ENSG00000221447,2_ensembl,AL591415.1,noncoding_miRNA
chr1,1,48213546,48214562,-,CATG00000058007,1_FANTOM,CATG00000058007.1,noncoding_lncRNA_intergenic
chr1,1,48224244,48239311,+,CATG00000000267,1_FANTOM,CATG00000000267.1,protein_coding
chr1,1,48226199,48463057,-,ENSG00000269113,1_FANTOM,TRABD2B,protein_coding
chr1,1,48226804,48231219,-,ENSG00000223814,2_ensembl,RP11-543D5.2,noncoding_lncRNA_lincRNA
chr1,1,48226979,48227290,-,ENSG00000273395,2_ensembl,FLJ00388,protein_coding
chr1,1,48283743,48285909,+,ENSG00000225028,1_FANTOM,RP11-330M19.1,noncoding_lncRNA_noncoding_antisense
chr1,1,48382206,48383227,-,CATG00000058046,1_FANTOM,CATG00000058046.1,noncoding_sense_overlap_RNA
chr1,1,48507712,48645195,+,CATG00000000331,1_FANTOM,CATG00000000331.1,noncoding_lncRNA_intergenic
chr1,1,48513163,48515639,-,CATG00000058074,1_FANTOM,CATG00000058074.1,noncoding_lncRNA_intergenic
chr1,1,48519217,48532873,+,ENSG00000226133,2_ensembl,RP4-683M8.2,noncoding_lncRNA_lincRNA
chr1,1,48538763,48539953,-,CATG00000058100,1_FANTOM,CATG00000058100.1,noncoding_lncRNA_intergenic
chr1,1,48544459,48547868,-,ENSG00000231413,2_ensembl,RP11-193P11.3,noncoding_lncRNA_lincRNA
chr1,1,48555040,48555306,+,ENSG00000237180,2_ensembl,CYP46A4P,noncoding_pseudogene
chr1,1,48561764,48648100,-,ENSG00000242267,2_ensembl,SKINTL,noncoding_pseudogene
chr1,1,48569306,48569878,+,ENSG00000269709,2_ensembl,AL109659.1,protein_coding
chr1,1,48671637,48672515,+,ENSG00000223720,2_ensembl,RP5-1024N4.2,noncoding_lncRNA_lincRNA
chr1,1,48688388,48715873,+,ENSG00000117834,1_FANTOM,SLC5A9,protein_coding
chr1,1,48693560,48695233,-,ENSG00000272491,2_ensembl,RP5-1024N4.4,noncoding_antisense
chr1,1,48727125,48937849,-,ENSG00000132122,1_FANTOM,SPATA6,protein_coding
chr1,1,48790752,48791757,-,ENSG00000224986,1_FANTOM,PPP1R8P1,noncoding_pseudogene
chr1,1,48809881,48809987,+,ENSG00000206700,2_ensembl,RNU6-723P,noncoding_snRNA
chr1,1,48901373,48902895,+,ENSG00000235105,1_FANTOM,RP11-329A14.1,noncoding_pseudogene
chr1,1,48906884,48908388,-,CATG00000058120,1_FANTOM,CATG00000058120.1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,48913609,48913714,+,ENSG00000223175,1_FANTOM,RNU4-61P,noncoding_small_RNA
chr1,1,48936456,48948395,+,CATG00000000442,1_FANTOM,CATG00000000442.1,noncoding_lncRNA_intergenic
chr1,1,48938089,48938766,+,CATG00000000443,1_FANTOM,CATG00000000443.1,noncoding_lncRNA_divergent
chr1,1,48962935,48963408,-,ENSG00000232514,2_ensembl,RP11-329A14.2,noncoding_pseudogene
chr1,1,48987995,50489585,-,ENSG00000186094,1_FANTOM,AGBL4,protein_coding
chr1,1,49152783,49161010,+,CATG00000000454,1_FANTOM,CATG00000000454.1,noncoding_lncRNA_divergent
chr1,1,49193129,49242678,-,ENSG00000162373,1_FANTOM,BEND5,protein_coding
chr1,1,49513988,49653257,+,ENSG00000229846,2_ensembl,RP11-141A19.1,noncoding_antisense
chr1,1,49617064,49617175,+,ENSG00000239144,2_ensembl,snoU13,noncoding_snoRNA
chr1,1,49723083,49734957,+,ENSG00000230114,2_ensembl,RP11-141A19.2,noncoding_antisense
